<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:48:12,354 - INFO - sheet_parser.py:271 - [find_all_header_rows] Searching for additional headers using pattern '^(批次号|订单号|物料代码|总张数|净重|毛重|po|item|pcs|net|gross|TTX编号)$' in rows 10-53
2025-12-02 12:48:12,357 - INFO - main.py:507 - Found a total of 1 table(s) to process at rows: [9]
2025-12-02 12:48:12,357 - WARNING - main.py:513 - Column 'col_desc' not found during mapping. Aggregation keys will use None for description.
2025-12-02 12:48:12,357 - INFO - main.py:516 - Extracting data for all tables...
2025-12-02 12:48:12,357 - INFO - sheet_parser.py:216 - [extract_multiple_tables] Starting extraction for 1 tables: [9]
2025-12-02 12:48:12,358 - INFO - sheet_parser.py:234 - [extract_multiple_tables] Table 1: Extracting Data Rows 10 to 53
2025-12-02 12:48:12,360 - INFO - sheet_parser.py:241 - [extract_multiple_tables] Stopping extraction for Table 1 at row 53: Empty cell in stop column 'col_item'.
2025-12-02 12:48:12,360 - INFO - sheet_parser.py:251 - [extract_multiple_tables] Successfully stored 43 rows for Table Index 1.
2025-12-02 12:48:12,364 - DEBUG - main.py:521 - --- Raw Extracted Data (1 Table(s)) ---
{1: {'col_amount': [11839.36,
                    1621.737,
                    6871.8,
                    103.5,
                    6757.625,
                    44.296,
                    9687.75,
                    7418.75,
                    224.983,
                    471.471,
                    15130.955,
                    13878.259,
                    372.504,
                    16316.305,
                    2571.983,
                    323,
                    1405.357,
                    6095.125,
                    1058.358,
                    13836,
                    8295.875,
                    1225.937,
                    6771.625,
                    615.737,
                    12052.75,
                    6517.375,
                    1328.428,
                    2130.75,
                    620.37,
                    755.144,
                    7808.25,
                    322.389,
                    13604.75,
                    12594.375,
                    1126.836,
                    13307.875,
                    11463.25,
                    1089.885,
                    5396.25,
                    90.513,
                    3368.625,
                    258.544,
                    498.094],
     'col_cbm': ['2.2*1.8*0.63',
                 None,
